month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1156,1054,1.09677419354839
02/2020,,942,799,1.17897371714643
03/2020,,624,717.333333333333,0.869888475836431
04/2020,,122,770.666666666667,0.158304498269896
05/2020,,140,940.666666666667,0.148830616583983
06/2020,,371,867.333333333333,0.427747886241353
07/2020,,242,1047.66666666667,0.230989500477251
08/2020,,326,928.666666666667,0.351040918880115
09/2020,,647,999.666666666667,0.647215738579526
10/2020,,579,844,0.686018957345972
11/2020,,416,800.666666666667,0.519567027477103
12/2020,,716,687.666666666667,1.04120213281629
01/2021,,623,1054,0.591081593927894
02/2021,,424,799,0.530663329161452
03/2021,,576,717.333333333333,0.802973977695167
04/2021,,419,770.666666666667,0.543685121107266
05/2021,,404,940.666666666667,0.429482636428065
06/2021,,669,867.333333333333,0.771329746348962
07/2021,,639,1047.66666666667,0.609926821508113
08/2021,,684,928.666666666667,0.73653984206748
09/2021,,724,999.666666666667,0.724241413804602
10/2021,,716,844,0.848341232227488
11/2021,,645,800.666666666667,0.805578684429642
12/2021,,742,687.666666666667,1.07901114881241
01/2022,,530,1054,0.502846299810247
02/2022,,1093,799,1.36795994993742
03/2022,,898,717.333333333333,1.25185873605948
04/2022,,321,770.666666666667,0.416522491349481
04/2023,,,,,
05/2022,,865,940.666666666667,0.919560595322466
06/2022,,871,867.333333333333,1.00422751729439
07/2022,,1075,1047.66666666667,1.0260897231944
08/2022,,1228,928.666666666667,1.32232591529074
09/2022,,1135,999.666666666667,1.1353784594865
10/2022,,1087,844,1.28791469194313
11/2022,,834,800.666666666667,1.04163197335554
12/2022,,1166,687.666666666667,1.69558894813379
01/2023,,1215,1054,1.15275142314991
02/2023,,1014,799,1.26908635794743
03/2023,,1069,717.333333333333,1.49024163568773
